raw,cell,condition,id,time,spindle_pole_a_vel,spindle_pole_b_vel,dist_centre_pole_a,dist_centre_pole_b,centre_cell_x,centre_cell_y,pole_a_x,pole_a_y,,,,,,pole_b_x,pole_b_y,,,,,
2015.02.27_hela_gfp-tub_rfp-h2b_vox-60x,xy_point_6,control,10,24,0.201215197,0.481981558,,,,,,,,,,,,,,,,,,
2010.08.06_hela_gfp-tub_rfp-h2b_rap1_stlc_vox-40x,cell_2,rap1_stlc,11,-15,,,,,,,,,,,,,,,,,,,,
2010.08.06_hela_gfp-tub_rfp-h2b_rap1_stlc_vox-40x,cell_2,rap1_stlc,11,-12,0.143482481,0.143482481,,,,,,,,,,,,,,,,,,
2010.08.06_hela_gfp-tub_rfp-h2b_rap1_stlc_vox-40x,cell_2,rap1_stlc,11,-9,0.225095782,0.530993304,,,,,,,,,,,,,,,,,,
2010.08.06_hela_gfp-tub_rfp-h2b_rap1_stlc_vox-40x,cell_2,rap1_stlc,11,-6,0.199,0.565903506,,,,,,,,,,,,,,,,,,
2010.08.06_hela_gfp-tub_rfp-h2b_rap1_stlc_vox-40x,cell_2,rap1_stlc,11,-3,0.32112597,0.30327417,,,,,,,,,,,,,,,,,,
2010.08.06_hela_gfp-tub_rfp-h2b_rap1_stlc_vox-40x,cell_2,rap1_stlc,11,0,0.375698609,0.287242252,,,,,,,,,,,,,,,,,,
2010.08.06_hela_gfp-tub_rfp-h2b_rap1_stlc_vox-40x,cell_2,rap1_stlc,11,3,0.760849014,0.74070987,,,,,,,,,,,,,,,,,,
2010.08.06_hela_gfp-tub_rfp-h2b_rap1_stlc_vox-40x,cell_2,rap1_stlc,11,6,0.950082394,0.08899563,,,,,,,,,,,,,,,,,,
2010.08.06_hela_gfp-tub_rfp-h2b_rap1_stlc_vox-40x,cell_2,rap1_stlc,11,9,0.656948163,0.281522843,,,,,,,,,,,,,,,,,,
