Experiment,Point,Cell,Treatment,Frame,Time,X,Y,Velocity,Cell_Area,Cell_X,Cell_Y,Cell_Major,Cell_Minor,Cell_Angle
2014.05.01_hela_gfp-tub_rfp-h2b_confinement-5um_zeiss-??x,HCTG-0006-6,1,pdms_fn,57,111,355.175,252.124,0.426765223,2627,336.7,244.4,58.3,57.4,150.8
2014.05.01_hela_gfp-tub_rfp-h2b_confinement-5um_zeiss-??x,HCTG-0006-6,1,pdms_fn,58,114,355.28,250.237,0.629973015,2627,336.7,244.4,58.3,57.4,150.8
2014.05.01_hela_gfp-tub_rfp-h2b_confinement-5um_zeiss-??x,HCTG-0006-6,1,pdms_fn,59,117,355.595,248.141,0.70651264,2627,336.7,244.4,58.3,57.4,150.8
2014.05.01_hela_gfp-tub_rfp-h2b_confinement-5um_zeiss-??x,HCTG-0006-6,1,pdms_fn,60,120,355.49,246.778,0.455679468,2627,336.7,244.4,58.3,57.4,150.8
2014.05.01_hela_gfp-tub_rfp-h2b_confinement-5um_zeiss-??x,HCTG-0006-6,1,pdms_fn,61,123,354.442,246.254,0.39056654,2627,336.7,244.4,58.3,57.4,150.8
2014.05.01_hela_gfp-tub_rfp-h2b_confinement-5um_zeiss-??x,HCTG-0006-6,1,pdms_fn,62,126,353.393,246.149,0.351413969,2627,336.7,244.4,58.3,57.4,150.8
2014.05.01_hela_gfp-tub_rfp-h2b_confinement-5um_zeiss-??x,HCTG-0006-6,1,pdms_fn,63,129,353.917,245.1,0.390864711,2627,336.7,244.4,58.3,57.4,150.8
2014.05.01_hela_gfp-tub_rfp-h2b_confinement-5um_zeiss-??x,HCTG-0006-6,1,pdms_fn,64,132,353.288,244.995,0.212567898,2627,336.7,244.4,58.3,57.4,150.8
2014.05.01_hela_gfp-tub_rfp-h2b_confinement-5um_zeiss-??x,HCTG-0006-6,2,pdms_fn,188,0,329.281,205.054,,2222,328.2,208.3,64.7,44.4,149
2014.05.01_hela_gfp-tub_rfp-h2b_confinement-5um_zeiss-??x,HCTG-0006-6,2,pdms_fn,189,3,322.834,203.01,2.254421458,2222,328.2,208.3,64.7,44.4,149
2014.05.01_hela_gfp-tub_rfp-h2b_confinement-5um_zeiss-??x,HCTG-0006-6,2,pdms_fn,190,6,318.589,202.381,1.430449269,2222,328.2,208.3,64.7,44.4,149
2014.05.01_hela_gfp-tub_rfp-h2b_confinement-5um_zeiss-??x,HCTG-0006-6,2,pdms_fn,191,9,316.387,203.639,0.845338065,2222,328.2,208.3,64.7,44.4,149
2014.05.01_hela_gfp-tub_rfp-h2b_confinement-5um_zeiss-??x,HCTG-0006-6,2,pdms_fn,192,12,316.23,205.369,0.57903646,2222,328.2,208.3,64.7,44.4,149
2014.05.01_hela_gfp-tub_rfp-h2b_confinement-5um_zeiss-??x,HCTG-0006-6,2,pdms_fn,193,15,317.331,208.671,1.160239678,2222,328.2,208.3,64.7,44.4,149
2014.05.01_hela_gfp-tub_rfp-h2b_confinement-5um_zeiss-??x,HCTG-0006-6,2,pdms_fn,194,18,315.915,210.715,0.828854095,2222,328.2,208.3,64.7,44.4,149
