filename,position,condition,cell_id,frame,time,dna_area,dna_x,dna_y,dna_length,dna_width,dna_angle,cell_area,cell_x,cell_y,cell_length,cell_width,cell_angle,spindle_angle,spindle_length
2017_11_08_hctg_leica63x,Position001,control,2,43,24,85.888,66.443,52.955,15.809,6.917,95.917,394.326,65.116,52.566,22.876,21.948,96.527,-11.441,8.726
2017_11_08_hctg_leica63x,Position001,control,2,44,27,81.673,67.251,52.455,14.421,7.211,97.06,385.594,66.157,52.073,22.467,21.852,102.173,-9.367,9.973
2017_11_08_hctg_leica63x,Position001,control,3,82,-15,344.799,39.389,48.279,28.387,15.465,111.44,911.037,39.922,44.658,51.671,22.449,98.256,,
2017_11_08_hctg_leica63x,Position001,control,3,83,-12,388.242,38.748,47.301,27.586,17.919,115.794,900.218,39.699,44.652,50.692,22.611,98.364,,
2017_11_08_hctg_leica63x,Position001,control,3,84,-9,401.231,39.469,47.473,28.753,17.767,114.908,861.292,39.943,44.627,49.218,22.281,97.421,,
2017_11_08_hctg_leica63x,Position001,control,3,85,-6,394.066,39.575,46.286,27.831,18.028,112.359,783.388,40.331,44.207,48.315,20.644,99.809,,
2017_11_08_hctg_leica63x,Position001,control,3,86,-3,329.899,38.987,47.523,25.332,16.581,114.687,723.935,40.446,43.749,44.612,20.661,97.388,,
2017_11_08_hctg_leica63x,Position001,control,3,87,0,257.852,39.542,49.107,22.365,14.679,124.488,514.717,40.89,46.728,31.23,20.985,94.891,,
2017_11_08_hctg_leica63x,Position001,control,3,88,3,154.094,40.841,50.09,16.463,11.918,132.541,412.579,41.782,48.596,24.978,21.031,94.723,,
2017_11_08_hctg_leica63x,Position001,control,3,89,6,155.662,41.196,49.933,15.036,13.182,155.139,395.53,42.123,48.725,23.77,21.186,98.629,,
2017_11_08_hctg_leica63x,Position001,control,3,90,9,143.857,41.607,49.944,14.319,12.792,148.094,360.799,42.198,48.895,22.563,20.361,93.123,-86.634,10.409
