cell_id,condition,time,spindle_angle
32,micropattern_lgn_rnai,9,-9.114634
33,micropattern_lgn_rnai,0,-20.98734
33,micropattern_lgn_rnai,3,-17.835515
33,micropattern_lgn_rnai,6,-37.107608
33,micropattern_lgn_rnai,9,-13.120138
33,micropattern_lgn_rnai,12,-4.728193
33,micropattern_lgn_rnai,15,8.497783
33,micropattern_lgn_rnai,18,5.717724
33,micropattern_lgn_rnai,21,-12.018659
33,micropattern_lgn_rnai,24,-14.825128
33,micropattern_lgn_rnai,27,-18.55331
33,micropattern_lgn_rnai,30,-6.057383
33,micropattern_lgn_rnai,33,-22.377308
33,micropattern_lgn_rnai,36,-48.0544
33,micropattern_lgn_rnai,39,-42.711935
33,micropattern_lgn_rnai,42,-23.159208
33,micropattern_lgn_rnai,45,-35.20638
33,micropattern_lgn_rnai,48,-18.420837
33,micropattern_lgn_rnai,51,-25.230023
33,micropattern_lgn_rnai,54,-9.082277
33,micropattern_lgn_rnai,57,-24.374087
33,micropattern_lgn_rnai,60,15.555243
33,micropattern_lgn_rnai,63,-0.244035
33,micropattern_lgn_rnai,66,-30.073162
33,micropattern_lgn_rnai,69,-55.432162
33,micropattern_lgn_rnai,72,-58.551149
33,micropattern_lgn_rnai,75,-46.737831
33,micropattern_lgn_rnai,78,6.67368
33,micropattern_lgn_rnai,81,-15.527991
33,micropattern_lgn_rnai,84,-28.113483
33,micropattern_lgn_rnai,87,-22.669109
33,micropattern_lgn_rnai,90,-22.576897
33,micropattern_lgn_rnai,93,-16.419042
33,micropattern_lgn_rnai,96,-21.346515
33,micropattern_lgn_rnai,99,-42.373467
33,micropattern_lgn_rnai,102,-64.544284
33,micropattern_lgn_rnai,105,-20.933391
33,micropattern_lgn_rnai,108,-28.917222
33,micropattern_lgn_rnai,111,-15.462242
33,micropattern_lgn_rnai,114,-42.172992
33,micropattern_lgn_rnai,117,-39.727157
33,micropattern_lgn_rnai,120,-23.818778
33,micropattern_lgn_rnai,123,-32.489877
33,micropattern_lgn_rnai,126,-13.141311
33,micropattern_lgn_rnai,129,-24.505763
33,micropattern_lgn_rnai,132,-25.530663
33,micropattern_lgn_rnai,135,-31.338417
33,micropattern_lgn_rnai,138,-22.672038
33,micropattern_lgn_rnai,141,-32.026239
33,micropattern_lgn_rnai,144,-10.226032
33,micropattern_lgn_rnai,147,-16.064952
33,micropattern_lgn_rnai,150,-20.358372
33,micropattern_lgn_rnai,153,-28.458839
33,micropattern_lgn_rnai,156,-31.110654
33,micropattern_lgn_rnai,159,-34.092591
33,micropattern_lgn_rnai,162,-35.60152
33,micropattern_lgn_rnai,165,-56.495324
33,micropattern_lgn_rnai,168,-44.828973
33,micropattern_lgn_rnai,171,-70.101367
33,micropattern_lgn_rnai,174,-56.416166
33,micropattern_lgn_rnai,177,-13.297134
34,micropattern_lgn_rnai,0,66.643945
34,micropattern_lgn_rnai,3,69.159788
34,micropattern_lgn_rnai,6,68.348179
34,micropattern_lgn_rnai,9,59.987315
34,micropattern_lgn_rnai,12,49.976508
34,micropattern_lgn_rnai,15,54.830436
34,micropattern_lgn_rnai,18,56.131861
34,micropattern_lgn_rnai,21,54.991324
34,micropattern_lgn_rnai,24,71.808552
34,micropattern_lgn_rnai,27,32.688855
34,micropattern_lgn_rnai,30,64.248639
34,micropattern_lgn_rnai,33,54.047733
34,micropattern_lgn_rnai,36,49.321037
34,micropattern_lgn_rnai,39,42.875074
34,micropattern_lgn_rnai,42,37.070349
34,micropattern_lgn_rnai,45,19.086744
34,micropattern_lgn_rnai,48,10.419396
34,micropattern_lgn_rnai,51,11.343419
34,micropattern_lgn_rnai,54,8.484058
35,micropattern_lgn_rnai,0,18.106853
35,micropattern_lgn_rnai,3,6.110468
35,micropattern_lgn_rnai,6,11.193871
35,micropattern_lgn_rnai,9,4.758511
35,micropattern_lgn_rnai,12,10.756827
35,micropattern_lgn_rnai,15,4.815604
35,micropattern_lgn_rnai,18,3.625901
35,micropattern_lgn_rnai,21,20.446463
35,micropattern_lgn_rnai,24,23.847208
35,micropattern_lgn_rnai,27,9.1157
35,micropattern_lgn_rnai,30,8.463188
35,micropattern_lgn_rnai,33,22.782925
35,micropattern_lgn_rnai,36,24.267633
35,micropattern_lgn_rnai,39,10.872089
35,micropattern_lgn_rnai,42,12.882639
35,micropattern_lgn_rnai,45,-3.65068
36,micropattern_lgn_rnai,0,-45.59821
36,micropattern_lgn_rnai,3,-25.41615
36,micropattern_lgn_rnai,6,-34.172528
36,micropattern_lgn_rnai,9,-32.909016
36,micropattern_lgn_rnai,12,-10.204056
36,micropattern_lgn_rnai,15,-21.288079
36,micropattern_lgn_rnai,18,-12.300377
37,micropattern_lgn_rnai,0,-81.981126
37,micropattern_lgn_rnai,3,-92.083926
37,micropattern_lgn_rnai,6,-100.931475
37,micropattern_lgn_rnai,9,-89.370463
37,micropattern_lgn_rnai,12,-60.882164
37,micropattern_lgn_rnai,15,-39.599641
37,micropattern_lgn_rnai,18,-56.356335
37,micropattern_lgn_rnai,21,-72.858449
37,micropattern_lgn_rnai,24,-59.021827
37,micropattern_lgn_rnai,27,-73.802799
37,micropattern_lgn_rnai,30,-59.557053
37,micropattern_lgn_rnai,33,-57.48169
37,micropattern_lgn_rnai,36,-59.619065
37,micropattern_lgn_rnai,39,-72.895168
38,micropattern_lgn_rnai,0,-4.017373
38,micropattern_lgn_rnai,3,4.25673
38,micropattern_lgn_rnai,6,-2.087914
38,micropattern_lgn_rnai,9,-0.595538
38,micropattern_lgn_rnai,12,-2.024415
38,micropattern_lgn_rnai,15,13.990513
38,micropattern_lgn_rnai,18,10.179693
38,micropattern_lgn_rnai,21,10.513437
38,micropattern_lgn_rnai,24,12.031042
38,micropattern_lgn_rnai,27,10.163708
38,micropattern_lgn_rnai,30,19.80068
38,micropattern_lgn_rnai,33,13.562344
38,micropattern_lgn_rnai,36,15.707361
38,micropattern_lgn_rnai,39,13.487502
38,micropattern_lgn_rnai,42,12.220406
38,micropattern_lgn_rnai,45,2.392877
38,micropattern_lgn_rnai,48,0.387113
38,micropattern_lgn_rnai,51,1.019708
38,micropattern_lgn_rnai,54,-12.224547
39,micropattern_lgn_rnai,0,41.328441
39,micropattern_lgn_rnai,3,82.078119
39,micropattern_lgn_rnai,6,88.218426
39,micropattern_lgn_rnai,9,29.404166
39,micropattern_lgn_rnai,12,-11.276177
39,micropattern_lgn_rnai,15,2.70849
39,micropattern_lgn_rnai,18,8.512576
40,micropattern_lgn_rnai,0,-33.308618
40,micropattern_lgn_rnai,3,-20.51549
40,micropattern_lgn_rnai,6,-12.410266
40,micropattern_lgn_rnai,9,7.323839
40,micropattern_lgn_rnai,12,13.100713
40,micropattern_lgn_rnai,15,13.75078
40,micropattern_lgn_rnai,18,19.524265
40,micropattern_lgn_rnai,21,10.169375
41,micropattern_lgn_rnai,0,44.005853
41,micropattern_lgn_rnai,3,42.722537
41,micropattern_lgn_rnai,6,55.632408
41,micropattern_lgn_rnai,9,54.492408
41,micropattern_lgn_rnai,12,50.061366
41,micropattern_lgn_rnai,15,68.020477
41,micropattern_lgn_rnai,18,58.296254
41,micropattern_lgn_rnai,21,90.153872
41,micropattern_lgn_rnai,24,73.494163
41,micropattern_lgn_rnai,27,54.666803
42,micropattern_lgn_rnai,0,-23.51498
42,micropattern_lgn_rnai,3,-17.139748
42,micropattern_lgn_rnai,6,-27.398613
42,micropattern_lgn_rnai,9,-14.047002
42,micropattern_lgn_rnai,12,-20.26238
42,micropattern_lgn_rnai,15,-19.923961
42,micropattern_lgn_rnai,18,-15.55793
43,micropattern_lgn_rnai,0,6.561427
43,micropattern_lgn_rnai,3,11.634061
43,micropattern_lgn_rnai,6,23.947909
43,micropattern_lgn_rnai,9,23.976307
43,micropattern_lgn_rnai,12,4.326228
43,micropattern_lgn_rnai,15,9.956186
44,micropattern_lgn_rnai,0,54.854782
44,micropattern_lgn_rnai,3,64.606492
44,micropattern_lgn_rnai,6,63.453815
44,micropattern_lgn_rnai,9,69.506047
44,micropattern_lgn_rnai,12,32.615949
45,micropattern_lgn_rnai,0,9.004613
45,micropattern_lgn_rnai,3,29.63561
45,micropattern_lgn_rnai,6,71.323895
45,micropattern_lgn_rnai,9,23.20383
45,micropattern_lgn_rnai,12,19.325278
45,micropattern_lgn_rnai,15,46.15004
45,micropattern_lgn_rnai,18,26.10276
45,micropattern_lgn_rnai,21,18.631569
45,micropattern_lgn_rnai,24,18.040106
45,micropattern_lgn_rnai,27,47.037001
46,micropattern_lgn_rnai,0,25.257415
46,micropattern_lgn_rnai,3,10.79146
46,micropattern_lgn_rnai,6,-0.221456
46,micropattern_lgn_rnai,9,-6.780503
46,micropattern_lgn_rnai,12,-28.343155
46,micropattern_lgn_rnai,15,-24.149494
46,micropattern_lgn_rnai,18,-31.817096
46,micropattern_lgn_rnai,21,-19.082776
46,micropattern_lgn_rnai,24,-37.46075
46,micropattern_lgn_rnai,27,-42.975937
46,micropattern_lgn_rnai,30,-2.252752
46,micropattern_lgn_rnai,33,27.177734
46,micropattern_lgn_rnai,36,-12.930402
47,micropattern_lgn_rnai,0,67.138491
47,micropattern_lgn_rnai,3,67.536708
47,micropattern_lgn_rnai,6,66.840971
47,micropattern_lgn_rnai,9,57.194007
47,micropattern_lgn_rnai,12,60.678651
47,micropattern_lgn_rnai,15,61.747791
48,micropattern_lgn_rnai,0,4.341393
48,micropattern_lgn_rnai,3,2.185681
48,micropattern_lgn_rnai,6,-26.848096
48,micropattern_lgn_rnai,9,-16.007364
48,micropattern_lgn_rnai,12,-5.984206
48,micropattern_lgn_rnai,15,9.59937
49,micropattern_lgn_rnai,0,49.080768
49,micropattern_lgn_rnai,3,42.891358
49,micropattern_lgn_rnai,6,46.194707
49,micropattern_lgn_rnai,9,63.129874
49,micropattern_lgn_rnai,12,39.929976
49,micropattern_lgn_rnai,15,51.589676
49,micropattern_lgn_rnai,18,42.504172
50,micropattern_lgn_rnai,0,20.589238
50,micropattern_lgn_rnai,3,33.122718
50,micropattern_lgn_rnai,6,38.869698
50,micropattern_lgn_rnai,9,48.002914
50,micropattern_lgn_rnai,12,53.444943
51,micropattern_lgn_rnai,0,49.012621
51,micropattern_lgn_rnai,3,45.176687
51,micropattern_lgn_rnai,6,30.994601
51,micropattern_lgn_rnai,9,24.716616
51,micropattern_lgn_rnai,12,28.798264
51,micropattern_lgn_rnai,15,23.670157
52,micropattern_lgn_rnai,0,-36.085321
52,micropattern_lgn_rnai,3,-19.877334
52,micropattern_lgn_rnai,6,-46.704941
52,micropattern_lgn_rnai,9,-48.358242
52,micropattern_lgn_rnai,12,-42.325024
53,micropattern_lgn_rnai,0,45.810899
53,micropattern_lgn_rnai,3,18.231782
53,micropattern_lgn_rnai,6,13.683645
53,micropattern_lgn_rnai,9,6.123152
53,micropattern_lgn_rnai,12,8.793221
53,micropattern_lgn_rnai,15,17.770038
53,micropattern_lgn_rnai,18,24.622352
54,micropattern_lgn_rnai,0,-10.191798
54,micropattern_lgn_rnai,3,-15.323984
54,micropattern_lgn_rnai,6,-23.855663
