file,position,condition,cell_id,frame,time,centrosome_a_x,centrosome_a_y,centrosome_a_vel,centrosome_a_dir,centrosome_b_x,centrosome_b_y,centrosome_b_vel,centrosome_b_dir,centrosome_mid_x,centrosome_mid_y,centrosome_mid_vel,centrosome_mid_dir,centrosome_distance,centrosome_angle,centrosome_elong,centrosome_rot,spindle_pole_a_x,spindle_pole_a_y,spindle_pole_a_vel,spindle_pole_a_dir,spindle_pole_b_x,spindle_pole_b_y,spindle_pole_b_vel,spindle_pole_b_dir,spindle_mid_x,spindle_mid_y,spindle_mid_vel,spindle_mid_dir,spindle_distance,spindle_angle,spindle_elong,spindle_rot,dna_area,dna_x,dna_y,dna_length,dna_width,dna_angle,cell_area,cell_x,cell_y,cell_length,cell_width,cell_angle
2010.08.06_hela_gfp-tub_rfp-h2b_rap1_stlc_vox-40x,cell_2,rap1_stlc,11,48,45,161.623,96.759,0.557666667,90,161.862,96.4,0.648142817,79.36043339,161.7425,96.5795,0.600322529,84.27991006,0.431279492,-56.34677863,-0.059220464,15.00617069,161.623,96.759,0.557666667,90,161.862,96.4,0.648142817,79.36043339,161.7425,96.5795,0.600322529,84.27991006,0.431279492,56.34677863,-0.059220464,-15.00617069,224.232,154.392,94.777,23.178,12.318,83.549,2050.447,147.181,101.712,72.582,35.969,92.281
2010.08.06_hela_gfp-tub_rfp-h2b_rap1_stlc_vox-40x,cell_2,rap1_stlc,11,49,48,161.742,98.789,0.677828313,86.64512126,162.34,98.192,0.618218588,75.06460284,162.041,98.4905,0.644724166,81.1220847,0.844992899,-44.95205375,0.137904469,3.798241626,161.623,97.953,0.398,90,161.623,97.953,0.523760972,98.74893459,161.623,97.953,0.459562896,94.97244085,0,#DIV/0!,-0.143759831,#DIV/0!,212.802,154.366,95.932,23.772,11.398,78.659,2050.447,147.181,101.712,72.582,35.969,92.281
2010.08.06_hela_gfp-tub_rfp-h2b_rap1_stlc_vox-40x,cell_2,rap1_stlc,11,50,51,162.101,101.537,0.923783585,82.5570047,161.981,100.581,0.805274418,98.54601102,162.041,101.059,0.856166667,90,0.963501946,-97.15451984,0.039503016,-17.40082203,162.22,100.103,0.743782301,74.48138698,162.22,100.103,0.743782301,74.48138698,162.22,100.103,0.743782301,74.48138698,0,#DIV/0!,0,#DIV/0!,219.351,154.825,97.096,24.321,11.483,73.672,1974.034,147.057,100.45,68.275,36.813,89.17
2010.08.06_hela_gfp-tub_rfp-h2b_rap1_stlc_vox-40x,cell_2,rap1_stlc,11,51,54,161.503,103.926,0.820902281,104.0531715,162.459,101.656,0.39216054,66.02762136,161.981,102.791,0.57767965,91.98404883,2.463094801,-67.16183239,0.499864285,9.997562483,161.862,102.851,0.923740464,97.42249422,161.862,102.851,0.923740464,97.42249422,161.862,102.851,0.923740464,97.42249422,0,#DIV/0!,0,#DIV/0!,227.571,154.566,98.836,23.631,12.261,64.615,1974.034,147.057,100.45,68.275,36.813,89.17
2010.08.06_hela_gfp-tub_rfp-h2b_rap1_stlc_vox-40x,cell_2,rap1_stlc,11,52,57,160.667,107.032,1.072180126,105.0645188,161.862,105.598,1.328983446,98.61177309,161.2645,106.315,1.198700604,101.4927259,1.866649673,-50.19442891,-0.198815043,5.65580116,161.026,106.076,1.110531454,104.5326054,161.026,106.076,1.110531454,104.5326054,161.026,106.076,1.110531454,104.5326054,0,#DIV/0!,0,#DIV/0!,218.838,154.282,100.797,23.458,11.878,52.635,1974.034,147.057,100.45,68.275,36.813,89.17
2010.08.06_hela_gfp-tub_rfp-h2b_rap1_stlc_vox-40x,cell_2,rap1_stlc,11,53,60,157.681,111.452,1.778032496,124.0416075,158.636,110.735,2.02198596,122.128533,158.1585,111.0935,1.899745546,123.0236568,1.194200151,-36.89868467,-0.224149841,4.431914746,158.875,109.54,1.359170376,121.8385621,158.875,109.54,1.359170376,121.8385621,158.875,109.54,1.359170376,121.8385621,0,#DIV/0!,0,#DIV/0!,228.855,153.87,103.722,23.911,12.187,38.557,1974.034,147.057,100.45,68.275,36.813,89.17
2010.08.06_hela_gfp-tub_rfp-h2b_rap1_stlc_vox-40x,cell_2,rap1_stlc,11,54,63,156.008,115.274,1.390707773,113.6403866,157.322,114.199,1.234949032,110.7732519,156.665,114.7365,1.312418939,112.2918788,1.697710517,-39.2870323,0.167836789,-0.796115877,157.442,112.885,1.213008839,113.1903209,157.442,112.885,1.213008839,113.1903209,157.442,112.885,1.213008839,113.1903209,0,#DIV/0!,0,#DIV/0!,232.194,153.66,106.658,23.876,12.382,28.236,1974.034,147.057,100.45,68.275,36.813,89.17
2010.08.06_hela_gfp-tub_rfp-h2b_rap1_stlc_vox-40x,cell_2,rap1_stlc,11,55,66,153.261,118.38,1.382157934,131.4900994,155.172,117.902,1.427301611,120.1398924,154.2165,118.141,1.397846459,125.7235064,1.969874361,-14.04329786,0.090721281,8.414578147,155.172,115.991,1.282364829,126.1609604,155.172,115.991,1.282364829,126.1609604,155.172,115.991,1.282364829,126.1609604,0,#DIV/0!,0,#DIV/0!,233.863,152.712,109.538,23.388,12.731,17.07,1974.034,147.057,100.45,68.275,36.813,89.17
2010.08.06_hela_gfp-tub_rfp-h2b_rap1_stlc_vox-40x,cell_2,rap1_stlc,11,56,69,150.872,121.128,1.21375565,131.0023756,152.066,121.486,1.580867975,130.9131659,151.469,121.307,1.397311397,130.9519113,1.246515142,16.69043898,-0.24111974,10.24457895,152.544,119.216,1.386723116,129.1760306,152.544,119.216,1.386723116,129.1760306,152.544,119.216,1.386723116,129.1760306,0,#DIV/0!,0,#DIV/0!,228.983,152.134,112.607,22.811,12.781,5.655,2039.402,147.844,101.223,69.228,37.509,93.346
2010.08.06_hela_gfp-tub_rfp-h2b_rap1_stlc_vox-40x,cell_2,rap1_stlc,11,57,72,147.886,123.039,1.181718005,147.3813014,150.155,124.233,1.115443609,124.8251003,149.0205,123.636,1.126419758,136.4328453,2.563980694,27.7543775,0.439155184,3.687979505,150.275,121.844,1.157331461,130.8071361,150.275,121.844,1.157331461,130.8071361,150.275,121.844,1.157331461,130.8071361,0,#DIV/0!,0,#DIV/0!,235.019,151.263,115.408,22.503,13.297,177.429,2039.402,148.202,101.581,69.228,37.509,93.346
